text,label
You are so stupid,bullying
Nobody likes you,bullying
You are worthless,bullying
I will hurt you,bullying
You are a loser,bullying
Shut up idiot,bullying
You are disgusting,bullying
Go kill yourself,bullying
You are pathetic,bullying
I hate you,bullying
You are such a failure,bullying
Nobody wants you here,bullying
You are useless,bullying
You are ugly,bullying
You are dumb,bullying
You are trash,bullying
You are embarrassing,bullying
You are annoying,bullying
You are a joke,bullying
You will never succeed,bullying
You are weak,bullying
You are horrible,bullying
You are a mistake,bullying
Everyone hates you,bullying
You are ridiculous,bullying
You are fake,bullying
You are selfish,bullying
You are toxic,bullying
You are bad at everything,bullying
You are nothing,bullying
You are inferior,bullying
You are hopeless,bullying
You are a disgrace,bullying
You are terrible,bullying
You are scary,bullying
You are mean,bullying
You are cruel,bullying
You are heartless,bullying
You are dumb and useless,bullying
You should quit,bullying
You are annoying everyone,bullying
You are always wrong,bullying
You are not important,bullying
You are a coward,bullying
You are so irritating,bullying
You are worthless and stupid,bullying
You are trash at this,bullying
You are embarrassing yourself,bullying
You are bad,bullying
You are toxic to everyone,bullying
I appreciate your help,not_bullying
Great job on the project,not_bullying
You did an amazing job,not_bullying
Keep up the good work,not_bullying
I am proud of you,not_bullying
That was a wonderful presentation,not_bullying
You are very talented,not_bullying
Nice effort,not_bullying
Thank you for your support,not_bullying
You are doing great,not_bullying
That was impressive,not_bullying
You handled it well,not_bullying
You are very kind,not_bullying
Well done,not_bullying
Fantastic performance,not_bullying
I respect your opinion,not_bullying
You are very helpful,not_bullying
I enjoyed working with you,not_bullying
You are improving every day,not_bullying
That was thoughtful,not_bullying
You have a bright future,not_bullying
You are creative,not_bullying
I like your idea,not_bullying
You are very smart,not_bullying
That was inspiring,not_bullying
You are strong,not_bullying
You are confident,not_bullying
You are dedicated,not_bullying
You are hardworking,not_bullying
You are reliable,not_bullying
You are honest,not_bullying
You are supportive,not_bullying
You are friendly,not_bullying
You are respectful,not_bullying
You are responsible,not_bullying
You are amazing,not_bullying
You are excellent,not_bullying
You are fantastic,not_bullying
You are brilliant,not_bullying
You are outstanding,not_bullying
You are polite,not_bullying
You are caring,not_bullying
You are positive,not_bullying
You are thoughtful,not_bullying
You are cheerful,not_bullying
You are motivating,not_bullying
You are generous,not_bullying
You are humble,not_bullying
You are calm,not_bullying
You are inspiring,not_bullying
